BAD,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,REASON_DebtCon,REASON_HomeImp,JOB_Mgr,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self,P_BAD0,P_BAD1
1,1100,25860.0,39025.0,10.5,0.0,0.0,94.3666666666667,1.0,9.0,34.818261818587,0,1,0,0,1,0,0,0,0.582025114294918,0.41797488570508207
1,1300,70053.0,68400.0,7.0,0.0,2.0,121.833333333333,0.0,14.0,34.818261818587,0,1,0,0,1,0,0,0,0.6706009002879934,0.3293990997120067
1,1500,13500.0,16700.0,4.0,0.0,0.0,149.466666666667,1.0,10.0,34.818261818587,0,1,0,0,1,0,0,0,0.6653341223717257,0.33466587762827427
1,1500,65019.0,89235.5,7.0,0.0,0.0,173.46666666666698,1.0,20.0,34.818261818587,0,0,0,0,1,0,0,0,0.7224383000596013,0.27756169994039875
0,1700,97800.0,112000.0,3.0,0.0,0.0,93.3333333333333,0.0,14.0,34.818261818587,0,1,0,1,0,0,0,0,0.6416151739655948,0.35838482603440525
1,1700,30548.0,40320.0,9.0,0.0,0.0,101.46600191058901,1.0,8.0,37.1136135584459,0,1,0,0,1,0,0,0,0.5989508449105359,0.4010491550894641
1,1800,48649.0,57037.0,5.0,3.0,2.0,77.1,1.0,17.0,34.818261818587,0,1,0,0,1,0,0,0,0.5608905749712512,0.4391094250287488
1,1800,28502.0,43034.0,11.0,0.0,0.0,88.76602987890992,0.0,8.0,36.884894092904794,0,1,0,0,1,0,0,0,0.5752157427313962,0.42478425726860386
1,2000,32700.0,46740.0,3.0,0.0,2.0,216.93333333333302,1.0,12.0,34.818261818587,0,1,0,0,1,0,0,0,0.7687913474618038,0.23120865253819617
1,2000,65019.0,62250.0,16.0,0.0,0.0,115.8,0.0,13.0,34.818261818587,0,1,0,0,0,0,1,0,0.6721529699139477,0.32784703008605237
1,2000,22608.0,89235.5,18.0,0.0,0.0,173.46666666666698,1.0,20.0,34.818261818587,0,0,0,0,1,0,0,0,0.6683604152047864,0.33163958479521355
1,2000,20627.0,29800.0,11.0,0.0,1.0,122.53333333333299,1.0,9.0,34.818261818587,0,1,0,1,0,0,0,0,0.6325506043314022,0.3674493956685978
1,2000,45000.0,55000.0,3.0,0.0,0.0,86.0666666666667,2.0,25.0,34.818261818587,0,1,0,0,1,0,0,0,0.5637484900485494,0.4362515099514505
0,2000,64536.0,87400.0,2.5,0.0,0.0,147.13333333333298,0.0,24.0,34.818261818587,0,0,1,0,0,0,0,0,0.6785601114040424,0.3214398885959576
1,2100,71000.0,83850.0,8.0,0.0,1.0,123.0,0.0,16.0,34.818261818587,0,1,0,0,1,0,0,0,0.667449879891711,0.33255012010828905
1,2200,24280.0,34687.0,7.0,0.0,1.0,300.86666666666696,0.0,8.0,34.818261818587,0,1,0,0,1,0,0,0,0.8620481632048486,0.13795183679515144
1,2200,90957.0,102600.0,7.0,2.0,6.0,122.9,1.0,22.0,34.818261818587,0,1,1,0,0,0,0,0,0.6689617072821741,0.33103829271782587
1,2200,23030.0,89235.5,19.0,0.0,0.0,173.46666666666698,1.0,20.0,3.71131229945985,0,0,0,0,1,0,0,0,0.7474564265952619,0.2525435734047381
1,2300,28192.0,40150.0,4.5,0.0,0.0,54.6,1.0,16.0,34.818261818587,0,1,0,0,1,0,0,0,0.5069125300739774,0.49308746992602265
0,2300,102370.0,120953.0,2.0,0.0,0.0,90.9925334673386,0.0,13.0,31.588503178315502,0,1,0,1,0,0,0,0,0.652076977536687,0.34792302246331297
1,2300,37626.0,46200.0,3.0,0.0,1.0,122.266666666667,1.0,14.0,34.818261818587,0,1,0,0,1,0,0,0,0.6370789247376092,0.36292107526239076
1,2400,50000.0,73395.0,5.0,1.0,0.0,173.46666666666698,1.0,0.0,34.818261818587,0,1,0,0,0,1,0,0,0.7375364328553727,0.26246356714462726
1,2400,28000.0,40800.0,12.0,0.0,0.0,67.2,2.0,22.0,34.818261818587,0,1,1,0,0,0,0,0,0.5254825982434566,0.4745174017565434
1,2400,18000.0,89235.5,22.0,0.0,2.0,121.733333333333,0.0,10.0,34.818261818587,0,1,1,0,0,0,0,0,0.5924981261519038,0.4075018738480962
1,2400,65019.0,17180.0,7.0,0.0,0.0,14.566666666666698,3.0,4.0,34.818261818587,0,1,0,0,1,0,0,0,0.5387847111601647,0.4612152888398353
1,2400,34863.0,47471.0,12.0,0.0,0.0,70.49108003183709,1.0,21.0,38.26360073093029,0,1,1,0,0,0,0,0,0.5308198882444457,0.46918011175555435
0,2400,98449.0,117195.0,4.0,0.0,0.0,93.81177485456939,0.0,13.0,29.6818270451957,0,1,0,1,0,0,0,0,0.6601481464387597,0.33985185356124026
1,2500,15000.0,20200.0,18.0,0.0,0.0,136.066666666667,1.0,19.0,34.818261818587,0,1,0,0,1,0,0,0,0.6480307233752034,0.35196927662479666
1,2500,25116.0,36350.0,10.0,1.0,2.0,276.966666666667,0.0,9.0,34.818261818587,0,1,0,0,1,0,0,0,0.8408826590650138,0.15911734093498625
